#RUN ON SOFTWARE VERSION:
2.1
#FIELD CONFIGURATIONS
Magnet: EM7-CSB
Power supply: LS648
Magnet mode: High field
Head amplitude: 100%
Gap settings: Gap 3 - SSVT
Coil set name: LC-86
Coil set serial number: A13AK
Coil set balance number: 0
Moment X calibration value: -0.0841900193038553 A·m²/volt
Moment X calibration field: 0.5 T
Moment X calibration expected moment: 0.00692 A·m²
Moment X calibration standard ID: Ni Sphere
Moment X calibration comments: 
#SAMPLE SETTINGS
ID: Sample1
Volume: 1.00000 cm³
Area: 1.00000 cm²
Mass: 1.00000 g
Demagnetization factor: 0.00000 in SI µ0H
#REMANENCE CURVES MEASUREMENT
#ACQUISITION SETUP
IRM: False
DCD: True
Saturation field: 2.5 T
Repeat saturation: False
Sequence: Nonlinear
First non-zero field: 100 µT
Number of points: 150
Final field: 2.5 T
Field ramp rate: 400 mT/s
Averaging time: 5 s
#ADVANCED ACQUISITION SETUP
Measure moment at applied fields: False
Pause at saturation: 0 s
Pause at applied field: 0 s
Pause at zero field: 0 s
Moment meter range mode: Manual
Moment meter manual X range: X5 (840 nA·m²)
#DISPLAY SETUP
X axis: Field (µ0H)
Left Y axis: Moment (m)
Right Y axis: None
#EXTRACTED PARAMETERS
No sample characterization parameter extractions enabled.
Hr [T]: -0.0402449313137267
mrMax [A·m²]: 7.98039507859721E-07
mr(100mT)/mrMax [%]: 76.2584658821287
mr(200mT)/mrMax [%]: 93.3905451487
mr(300mT)/mrMax [%]: 96.389497679159
START TIME: 01/14/2023 10:49:18.094 AM
FINISH TIME: 01/14/2023 11:50:54.154 AM
#DATA: 2
##DATA TABLE Moment (m) [A·m²] vs Field (µ0H) [T]
Step,Iteration,Segment,Field (µ0H) [T],Moment (m) [A·m²],Time Stamp [s],,Field Status,Moment (m) Status,
2,0,0,-8.6088118851731874E-07,7.9479234200326379E-07,0,GOOD,GOOD,
2,0,0,-0.00010546365421987903,7.9400724541215836E-07,7.11,GOOD,GOOD,
2,0,0,-0.00020648839438119885,7.9250660370631458E-07,14.89,GOOD,GOOD,
2,0,0,-0.00031477751010715175,7.9071163466165361E-07,24.09,GOOD,GOOD,
2,0,0,-0.00043149799130928247,7.8926486496304028E-07,33.41,GOOD,GOOD,
2,0,0,-0.00055347664794500886,7.8753452912632308E-07,43.51,GOOD,GOOD,
2,0,0,-0.00068010868713995541,7.852831620462582E-07,53.76,GOOD,GOOD,
2,0,0,-0.0008106973333960783,7.8310766793970336E-07,64.74,GOOD,GOOD,
2,0,0,-0.00095175472615929987,7.8071428823259773E-07,77.09,GOOD,GOOD,
2,0,0,-0.0010993241544811057,7.7844278620632867E-07,88.43,GOOD,GOOD,
2,0,0,-0.0012510235662088563,7.7650508997987369E-07,99.05,GOOD,GOOD,
2,0,0,-0.0014129853010152243,7.7386031226867614E-07,110,GOOD,GOOD,
2,0,0,-0.0015801548085449051,7.7156823624166403E-07,120.78,GOOD,GOOD,
2,0,0,-0.0017603722555063904,7.6864344678923966E-07,132.35,GOOD,GOOD,
2,0,0,-0.0019459869225460186,7.6551999993607034E-07,144.02,GOOD,GOOD,
2,0,0,-0.0021405214280687634,7.6316736501084821E-07,155.88,GOOD,GOOD,
2,0,0,-0.0023450931927790548,7.6012026004817462E-07,167.85,GOOD,GOOD,
2,0,0,-0.0025616746954115061,7.567518233657223E-07,179.87,GOOD,GOOD,
2,0,0,-0.0027859950908749771,7.5313667157026395E-07,192.02,GOOD,GOOD,
2,0,0,-0.0030210969573125387,7.4925508886183622E-07,204.2,GOOD,GOOD,
