#RUN ON SOFTWARE VERSION:
2.1
#FIELD CONFIGURATIONS
Magnet: EM7-CSB
Power supply: LS648
Magnet mode: High field
Head amplitude: 100%
Gap settings: Gap 3 - SSVT
Coil set name: LC-86
Coil set serial number: A13AK
Coil set balance number: 0
Moment X calibration value: -0.0841900193038553 A·m²/volt
Moment X calibration field: 0.5 T
Moment X calibration expected moment: 0.00692 A·m²
Moment X calibration standard ID: Ni Sphere
Moment X calibration comments: 
#SAMPLE SETTINGS
ID: Sample1
Volume: 1.00000 cm³
Area: 1.00000 cm²
Mass: 1.00000 g
Demagnetization factor: 0.00000 in SI µ0H
#REMANENCE CURVES MEASUREMENT
#ACQUISITION SETUP
IRM: False
DCD: True
Saturation field: 2.5 T
Repeat saturation: False
Sequence: Nonlinear
First non-zero field: 100 µT
Number of points: 150
Final field: 2.5 T
Field ramp rate: 400 mT/s
Averaging time: 5 s
#ADVANCED ACQUISITION SETUP
Measure moment at applied fields: False
Pause at saturation: 0 s
Pause at applied field: 0 s
Pause at zero field: 0 s
Moment meter range mode: Manual
Moment meter manual X range: X5 (840 nA·m²)
#DISPLAY SETUP
X axis: Field (µ0H)
Left Y axis: Moment (m)
Right Y axis: None
#EXTRACTED PARAMETERS
No sample characterization parameter extractions enabled.
Hr [T]: -0.0408609260339971
mrMax [A·m²]: 2.8014451810546E-07
mr(100mT)/mrMax [%]: 74.5369194203617
mr(200mT)/mrMax [%]: 94.0152441957573
mr(300mT)/mrMax [%]: 97.0712102447647
START TIME: 01/13/2023 05:34:56.363 PM
FINISH TIME: 01/13/2023 06:36:44.953 PM
#DATA: 2
##DATA TABLE Moment (m) [A·m²] vs Field (µ0H) [T]
Step,Iteration,Segment,Field (µ0H) [T],Moment (m) [A·m²],Time Stamp [s],,Field Status,Moment (m) Status,
2,0,0,-0.01387975569096111,1.9051343524630114E-07,555.63,GOOD,GOOD,
2,0,0,-0.014655605154953755,1.8508460753578502E-07,570.6,GOOD,GOOD,
2,0,0,-0.015474133302749021,1.7920742432107538E-07,586.09,GOOD,GOOD,
2,0,0,-0.016328534130454458,1.7298823017814699E-07,601.58,GOOD,GOOD,
2,0,0,-0.017223840893855809,1.6667303225030486E-07,617.53,GOOD,GOOD,
2,0,0,-0.018169603463925817,1.5941256330014441E-07,633.71,GOOD,GOOD,
2,0,0,-0.019155831660902421,1.5245464408382564E-07,648.98,GOOD,GOOD,
2,0,0,-0.020191419660394044,1.4496205309015097E-07,666.41,GOOD,GOOD,
2,0,0,-0.021277895204429829,1.3663685867868332E-07,684.73,GOOD,GOOD,
2,0,0,-0.022418175591601554,1.2837187484678305E-07,702.29,GOOD,GOOD,
2,0,0,-0.023610481763431099,1.1920812192877362E-07,720.8,GOOD,GOOD,
2,0,0,-0.024866992020956925,1.1030510628453526E-07,738.65,GOOD,GOOD,
2,0,0,-0.026180321459056712,1.0065365778314837E-07,756.55,GOOD,GOOD,
2,0,0,-0.027559123188105696,9.0255077795589246E-08,774.77,GOOD,GOOD,
2,0,0,-0.029007208052642362,8.0105038971375048E-08,792.9,GOOD,GOOD,
2,0,0,-0.030522384202847218,6.9599227665453518E-08,811.36,GOOD,GOOD,
2,0,0,-0.032116353659502619,5.8224856871201809E-08,830.54,GOOD,GOOD,
2,0,0,-0.033783213007769042,4.6446559442592133E-08,850.13,GOOD,GOOD,
2,0,0,-0.035537392161629336,3.4692903863833618E-08,868.86,GOOD,GOOD,
2,0,0,-0.03737127050954301,2.2249845390394363E-08,888.42,GOOD,GOOD,
2,0,0,-0.039296603120407059,9.8976831197699031E-09,908.25,GOOD,GOOD,
2,0,0,-0.041319627419006758,-2.9022658403727638E-09,928.05,GOOD,GOOD,
2,0,0,-0.043437035349785921,-1.5932506301100131E-08,948.1,GOOD,GOOD,
2,0,0,-0.04565981722091407,-2.9022778610913401E-08,968.83,GOOD,GOOD,
2,0,0,-0.04799083210967095,-4.1914873832793017E-08,988.55,GOOD,GOOD,
2,0,0,-0.050435373636808431,-5.4994394701026347E-08,1008.93,GOOD,GOOD,
2,0,0,-0.052997778980946,-6.8212317323985166E-08,1029.86,GOOD,GOOD,
2,0,0,-0.055687812467780783,-8.1239401472767644E-08,1050.83,GOOD,GOOD,
2,0,0,-0.058508657061265908,-9.4226883394110997E-08,1071.89,GOOD,GOOD,
2,0,0,-0.061470971680051764,-1.0688421665082025E-07,1092.74,GOOD,GOOD,
2,0,0,-0.064574578924700671,-1.192981406631009E-07,1114.83,GOOD,GOOD,
2,0,0,-0.067829579748235488,-1.3124149434384701E-07,1136.46,GOOD,GOOD,
2,0,0,-0.071240605425045789,-1.4288544988916284E-07,1158.56,GOOD,GOOD,
2,0,0,-0.074821293608213352,-1.5409169016894606E-07,1180.13,GOOD,GOOD,
2,0,0,-0.078580533785153076,-1.645766908525184E-07,1202.19,GOOD,GOOD,
2,0,0,-0.082519246536625346,-1.7476047186797441E-07,1224.78,GOOD,GOOD,
2,0,0,-0.086648245605575686,-1.8439018986879457E-07,1247.4,GOOD,GOOD,
2,0,0,-0.090985975909002662,-1.9311515413859134E-07,1269.41,GOOD,GOOD,
2,0,0,-0.095532449247823642,-2.0139014164132775E-07,1290.53,GOOD,GOOD,
2,0,0,-0.10029798615038596,-2.0930607208034391E-07,1315.95,GOOD,GOOD,
2,0,0,-0.10530266368389973,-2.1605943613923857E-07,1339.97,GOOD,GOOD,
2,0,0,-0.11054287039539118,-2.2277705366243129E-07,1365.61,GOOD,GOOD,
2,0,0,-0.11604585257236973,-2.2869912017301896E-07,1390.54,GOOD,GOOD,
2,0,0,-0.12181553077488388,-2.3375026499916148E-07,1416.1,GOOD,GOOD,
2,0,0,-0.12787098103506947,-2.3870589766049267E-07,1442.14,GOOD,GOOD,
2,0,0,-0.13421643174845715,-2.4310260661968785E-07,1468.98,GOOD,GOOD,
2,0,0,-0.14087550838244706,-2.468411206424423E-07,1494.98,GOOD,GOOD,
2,0,0,-0.14786200059146035,-2.5011701463585407E-07,1521.12,GOOD,GOOD,
2,0,0,-0.15518454836625736,-2.5297845431470052E-07,1547.62,GOOD,GOOD,
2,0,0,-0.16286531421848344,-2.5543293343030375E-07,1575.13,GOOD,GOOD,
2,0,0,-0.17092572510649931,-2.5779174494323128E-07,1602.46,GOOD,GOOD,
2,0,0,-0.17937608111905259,-2.5967905238716808E-07,1629.95,GOOD,GOOD,
2,0,0,-0.18824222792144857,-2.6140590871283645E-07,1658.08,GOOD,GOOD,
2,0,0,-0.19754270394313761,-2.6303185347530946E-07,1686.06,GOOD,GOOD,
2,0,0,-0.20729699436574911,-2.6440808401626955E-07,1712.93,GOOD,GOOD,
2,0,0,-0.2175239352194496,-2.6567111762169164E-07,1742.61,GOOD,GOOD,
2,0,0,-0.22825577599908456,-2.668604714206128E-07,1769.9,GOOD,GOOD,
2,0,0,-0.23951170094037044,-2.6762210378554372E-07,1797.04,GOOD,GOOD,
2,0,0,-0.25131341350037167,-2.6890810226342988E-07,1827.55,GOOD,GOOD,
2,0,0,-0.26369447738060942,-2.6980692316854131E-07,1857.97,GOOD,GOOD,
2,0,0,-0.27667618012194817,-2.7084458109746893E-07,1889.64,GOOD,GOOD,
2,0,0,-0.29029839143929181,-2.7137814706459006E-07,1921.33,GOOD,GOOD,
2,0,0,-0.30458272564928102,-2.7220492137104609E-07,1950.16,GOOD,GOOD,
2,0,0,-0.31956655499567593,-2.7288459751405068E-07,1979.17,GOOD,GOOD,
2,0,0,-0.33528390010883224,-2.7334793956375849E-07,2008.64,GOOD,GOOD,
2,0,0,-0.35176703142294474,-2.7395401599287592E-07,2037.99,GOOD,GOOD,
2,0,0,-0.36905634627146616,-2.7472103500722319E-07,2069.62,GOOD,GOOD,
2,0,0,-0.38719119691308074,-2.7510558242585026E-07,2101.69,GOOD,GOOD,
2,0,0,-0.4062132503540935,-2.7535418331408889E-07,2134.11,GOOD,GOOD,
2,0,0,-0.42616204830121995,-2.7573593602882938E-07,2166.63,GOOD,GOOD,
2,0,0,-0.44708667718167133,-2.7610773903570679E-07,2199.08,GOOD,GOOD,
2,0,0,-0.46903213791012305,-2.7664784564438846E-07,2233.32,GOOD,GOOD,
2,0,0,-0.49205268481274944,-2.767133427576049E-07,2266.5,GOOD,GOOD,
2,0,0,-0.51620027267690427,-2.773076639493814E-07,2298.84,GOOD,GOOD,
2,0,0,-0.54152146194036999,-2.7707298118190863E-07,2334.05,GOOD,GOOD,
2,0,0,-0.56808452306139823,-2.7771776918141707E-07,2369.02,GOOD,GOOD,
2,0,0,-0.59594497556139281,-2.778332059153232E-07,2401.91,GOOD,GOOD,
2,0,0,-0.62516686509226149,-2.7805117673870279E-07,2437.99,GOOD,GOOD,
2,0,0,-0.65581457071220373,-2.7807825941287419E-07,2474.59,GOOD,GOOD,
2,0,0,-0.68796147463911461,-2.7834064917108309E-07,2512.2,GOOD,GOOD,
2,0,0,-0.72167895082461042,-2.7870795106494844E-07,2547.16,GOOD,GOOD,
2,0,0,-0.75704486937658644,-2.7854362188682154E-07,2583.91,GOOD,GOOD,
2,0,0,-0.79414019383663348,-2.7874878137594239E-07,2619.09,GOOD,GOOD,
2,0,0,-0.83304552922681796,-2.7888718018749383E-07,2654.83,GOOD,GOOD,
2,0,0,-0.87385292634666589,-2.791215690395764E-07,2690.97,GOOD,GOOD,
2,0,0,-0.91665529840843007,-2.7902708433436206E-07,2728.22,GOOD,GOOD,
2,0,0,-0.96155189423825793,-2.7899217888596083E-07,2767.17,GOOD,GOOD,
2,0,0,-1.0086366694046549,-2.7910280765107105E-07,2806.13,GOOD,GOOD,
2,0,0,-1.0580261245141804,-2.791031596068066E-07,2845.52,GOOD,GOOD,
2,0,0,-1.1098234576549626,-2.7935211451818094E-07,2887.17,GOOD,GOOD,
2,0,0,-1.1641548949795657,-2.7946405405328126E-07,2929.2,GOOD,GOOD,
2,0,0,-1.2211425928109494,-2.793375724637022E-07,2972.66,GOOD,GOOD,
2,0,0,-1.280917142543289,-2.7938356897799856E-07,3016.52,GOOD,GOOD,
2,0,0,-1.3436102396834333,-2.7943923774739869E-07,3061.89,GOOD,GOOD,
2,0,0,-1.4093670536377452,-2.7966046017010151E-07,3108.79,GOOD,GOOD,
2,0,0,-1.4783399170239568,-2.794263072696341E-07,3156.34,GOOD,GOOD,
2,0,0,-1.5506771505071022,-2.7991963883471639E-07,3204.18,GOOD,GOOD,
2,0,0,-1.6265543747577593,-2.797815457686783E-07,3252.47,GOOD,GOOD,
2,0,0,-1.7061400711244361,-2.799022470605355E-07,3302.35,GOOD,GOOD,
2,0,0,-1.7896138283528671,-2.7996151482905702E-07,3352.76,GOOD,GOOD,
2,0,0,-1.8771664221635656,-2.7997772948683999E-07,3402.71,GOOD,GOOD,
2,0,0,-1.9689949562237299,-2.8010554102728845E-07,3454.55,GOOD,GOOD,
2,0,0,-2.0653112282522308,-2.8000280092521706E-07,3506.58,GOOD,GOOD,
2,0,0,-2.1663386625419347,-2.7985307873324821E-07,3555.89,GOOD,GOOD,
2,0,0,-2.2722961918505158,-2.8002228000786137E-07,3607.13,GOOD,GOOD,
2,0,0,-2.3834343750356535,-2.8012239581341903E-07,3656.33,GOOD,GOOD,
2,0,0,-2.4999998749368655,-2.8014451810546005E-07,3708.59,GOOD,GOOD,
