#RUN ON SOFTWARE VERSION:
2.1
#FIELD CONFIGURATIONS
Magnet: EM7-CSB
Power supply: LS648
Magnet mode: High field
Head amplitude: 100%
Gap settings: Gap 3 - SSVT
Coil set name: LC-86
Coil set serial number: A13AK
Coil set balance number: 0
Moment X calibration value: -0.0841900193038553 A·m²/volt
Moment X calibration field: 0.5 T
Moment X calibration expected moment: 0.00692 A·m²
Moment X calibration standard ID: Ni Sphere
Moment X calibration comments: 
#SAMPLE SETTINGS
ID: Sample1
Volume: 1.00000 cm³
Area: 1.00000 cm²
Mass: 1.00000 g
Demagnetization factor: 0.00000 in SI µ0H
#REMANENCE CURVES MEASUREMENT
#ACQUISITION SETUP
IRM: False
DCD: True
Saturation field: 2.5 T
Repeat saturation: False
Sequence: Nonlinear
First non-zero field: 100 µT
Number of points: 150
Final field: 2.5 T
Field ramp rate: 400 mT/s
Averaging time: 5 s
#ADVANCED ACQUISITION SETUP
Measure moment at applied fields: False
Pause at saturation: 0 s
Pause at applied field: 0 s
Pause at zero field: 0 s
Moment meter range mode: Manual
Moment meter manual X range: X5 (840 nA·m²)
#DISPLAY SETUP
X axis: Field (µ0H)
Left Y axis: Moment (m)
Right Y axis: None
#EXTRACTED PARAMETERS
No sample characterization parameter extractions enabled.
Hr [T]: -0.0385854342346535
mrMax [A·m²]: 6.9475788569049E-07
mr(100mT)/mrMax [%]: 75.8522810250321
mr(200mT)/mrMax [%]: 92.6780267549374
mr(300mT)/mrMax [%]: 95.9732955355506
START TIME: 01/13/2023 03:14:06.543 PM
FINISH TIME: 01/13/2023 04:15:58.853 PM
#DATA: 2
##DATA TABLE Moment (m) [A·m²] vs Field (µ0H) [T]
Step,Iteration,Segment,Field (µ0H) [T],Moment (m) [A·m²],Time Stamp [s],,Field Status,Moment (m) Status,
2,0,0,-1.7616834194576243E-06,6.9134151109379913E-07,0,GOOD,GOOD,
2,0,0,-9.9730812379936158E-05,6.9067221234249566E-07,6.76,GOOD,GOOD,
2,0,0,-0.00020373657992918881,6.8904757333465295E-07,15.97,GOOD,GOOD,
2,0,0,-0.00031491794206476122,6.8731055091323748E-07,25.58,GOOD,GOOD,
2,0,0,-0.00043104556350872337,6.8623366284104381E-07,34.59,GOOD,GOOD,
2,0,0,-0.00055173402647007311,6.8444636094132264E-07,44.27,GOOD,GOOD,
2,0,0,-0.00068011119463597754,6.8281410149647E-07,53.64,GOOD,GOOD,
2,0,0,-0.00081258207598885373,6.8068567887572707E-07,64.27,GOOD,GOOD,
2,0,0,-0.00095268309157568124,6.7813712087790496E-07,75.49,GOOD,GOOD,
2,0,0,-0.0011005924295873885,6.7627201352151162E-07,86.69,GOOD,GOOD,
2,0,0,-0.0012505753148803558,6.7476281262584212E-07,97.29,GOOD,GOOD,
2,0,0,-0.0014159987012956946,6.7221538495991777E-07,108.25,GOOD,GOOD,
2,0,0,-0.0015827424250445714,6.6973161315765128E-07,119.52,GOOD,GOOD,
2,0,0,-0.0017613249188357227,6.6693254016531871E-07,131.13,GOOD,GOOD,
2,0,0,-0.0019458816763349295,6.6444806161847731E-07,142.38,GOOD,GOOD,
2,0,0,-0.0021404700171542101,6.6203050144589558E-07,154.51,GOOD,GOOD,
2,0,0,-0.0023458633091141957,6.5901088096044392E-07,166.78,GOOD,GOOD,
2,0,0,-0.0025610973506945429,6.5601832580597348E-07,178.89,GOOD,GOOD,
2,0,0,-0.0027873046773848951,6.5241507350644538E-07,191.31,GOOD,GOOD,
2,0,0,-0.0030196070772789954,6.4921297585964772E-07,203.69,GOOD,GOOD,
2,0,0,-0.0032687645350091515,6.4514814209307866E-07,216.48,GOOD,GOOD,
2,0,0,-0.0035283161762439796,6.4139428061034041E-07,229.08,GOOD,GOOD,
2,0,0,-0.0038022220367325515,6.37108434798178E-07,241.9,GOOD,GOOD,
2,0,0,-0.0040880554531014281,6.3217040103389641E-07,255.74,GOOD,GOOD,
2,0,0,-0.0043884951701242013,6.2735275573319866E-07,269.62,GOOD,GOOD,
2,0,0,-0.0046980596730870471,6.2255632103935424E-07,282.57,GOOD,GOOD,
2,0,0,-0.0050313586950314591,6.1717588523250745E-07,297.3,GOOD,GOOD,
2,0,0,-0.0053769076655032118,6.111394828020315E-07,312.43,GOOD,GOOD,
2,0,0,-0.0057397237405105127,6.0522862983165636E-07,327.67,GOOD,GOOD,
2,0,0,-0.0061204971782417884,5.9903767920809195E-07,342.92,GOOD,GOOD,
2,0,0,-0.0065177757552336004,5.9277687411918096E-07,357.7,GOOD,GOOD,
2,0,0,-0.0069378030934747013,5.8557461902287984E-07,372.93,GOOD,GOOD,
2,0,0,-0.0073762738700187853,5.7783574586425044E-07,388.97,GOOD,GOOD,
2,0,0,-0.0078351980900640428,5.7058150859418126E-07,404.43,GOOD,GOOD,
2,0,0,-0.0083178218588419155,5.6179767652122501E-07,420.25,GOOD,GOOD,
