#RUN ON SOFTWARE VERSION:
2.1
#FIELD CONFIGURATIONS
Magnet: EM7-CSB
Power supply: LS648
Magnet mode: High field
Head amplitude: 100%
Gap settings: Gap 3 - SSVT
Coil set name: LC-86
Coil set serial number: A13AK
Coil set balance number: 0
Moment X calibration value: -0.0841900193038553 A·m²/volt
Moment X calibration field: 0.5 T
Moment X calibration expected moment: 0.00692 A·m²
Moment X calibration standard ID: Ni Sphere
Moment X calibration comments: 
#SAMPLE SETTINGS
ID: Sample1
Volume: 1.00000 cm³
Area: 1.00000 cm²
Mass: 1.00000 g
Demagnetization factor: 0.00000 in SI µ0H
#REMANENCE CURVES MEASUREMENT
#ACQUISITION SETUP
IRM: False
DCD: True
Saturation field: 2.5 T
Repeat saturation: False
Sequence: Nonlinear
First non-zero field: 100 µT
Number of points: 150
Final field: 2.5 T
Field ramp rate: 400 mT/s
Averaging time: 5 s
#ADVANCED ACQUISITION SETUP
Measure moment at applied fields: False
Pause at saturation: 0 s
Pause at applied field: 0 s
Pause at zero field: 0 s
Moment meter range mode: Manual
Moment meter manual X range: X5 (840 nA·m²)
#DISPLAY SETUP
X axis: Field (µ0H)
Left Y axis: Moment (m)
Right Y axis: None
#EXTRACTED PARAMETERS
No sample characterization parameter extractions enabled.
Hr [T]: -0.0367769795279868
mrMax [A·m²]: 1.9202123700609E-07
mr(100mT)/mrMax [%]: 73.0069304003898
mr(200mT)/mrMax [%]: 89.1988842522926
mr(300mT)/mrMax [%]: 93.5715639156603
START TIME: 01/14/2023 03:34:19.704 PM
FINISH TIME: 01/14/2023 04:35:51.274 PM
#DATA: 2
##DATA TABLE Moment (m) [A·m²] vs Field (µ0H) [T]
Step,Iteration,Segment,Field (µ0H) [T],Moment (m) [A·m²],Time Stamp [s],,Field Status,Moment (m) Status,
2,0,0,-0.013879578813966583,1.185405982893658E-07,550.27,GOOD,GOOD,
2,0,0,-0.014656817546694652,1.1395560281264476E-07,565.64,GOOD,GOOD,
2,0,0,-0.015469297880467027,1.0939546054872778E-07,581.22,GOOD,GOOD,
2,0,0,-0.016329057709806204,1.0463037686812222E-07,596.54,GOOD,GOOD,
2,0,0,-0.01722824953146767,9.9897638524522224E-08,611.56,GOOD,GOOD,
2,0,0,-0.018168135776101973,9.4513897787084897E-08,627.5,GOOD,GOOD,
2,0,0,-0.019155299189945765,8.932332563695124E-08,643.58,GOOD,GOOD,
2,0,0,-0.020190404576812478,8.3499096408085257E-08,661.1,GOOD,GOOD,
2,0,0,-0.021278303551778302,7.7479617437796208E-08,679.12,GOOD,GOOD,
2,0,0,-0.022418607251277704,7.1186158720401102E-08,696.83,GOOD,GOOD,
2,0,0,-0.02361395890395427,6.4888985526185527E-08,714.72,GOOD,GOOD,
2,0,0,-0.024867017464696922,5.8330761502507055E-08,732.8,GOOD,GOOD,
2,0,0,-0.026179628599023091,5.1505540548064738E-08,750.74,GOOD,GOOD,
2,0,0,-0.027560878421381149,4.4373383061554866E-08,769.69,GOOD,GOOD,
2,0,0,-0.029009707886490883,3.7021574567894009E-08,787.83,GOOD,GOOD,
2,0,0,-0.030524552047968671,2.9498094859414161E-08,806.95,GOOD,GOOD,
2,0,0,-0.032114792645531312,2.151396314537257E-08,826.54,GOOD,GOOD,
2,0,0,-0.033785669407848766,1.3611161610269878E-08,845.82,GOOD,GOOD,
2,0,0,-0.035535236433725893,5.4781279533508613E-09,865.83,GOOD,GOOD,
2,0,0,-0.037373545992165233,-2.6318386134393654E-09,885.17,GOOD,GOOD,
2,0,0,-0.039296400401118967,-1.0879852439138199E-08,905.5,GOOD,GOOD,
2,0,0,-0.04131732628569653,-1.9230795415179187E-08,925.39,GOOD,GOOD,
2,0,0,-0.043437488438094189,-2.7697020936316301E-08,945.6,GOOD,GOOD,
2,0,0,-0.045656608345557501,-3.6136347518686093E-08,966.27,GOOD,GOOD,
2,0,0,-0.047986408812891429,-4.42789783064954E-08,986.76,GOOD,GOOD,
2,0,0,-0.050436674288900564,-5.2300816286490532E-08,1005.28,GOOD,GOOD,
2,0,0,-0.053001815767997597,-6.0646053558713023E-08,1026.19,GOOD,GOOD,
2,0,0,-0.055686115962346204,-6.8708940754837372E-08,1047.22,GOOD,GOOD,
2,0,0,-0.05851212210035385,-7.6554954180080176E-08,1067.82,GOOD,GOOD,
2,0,0,-0.061470882354379044,-8.3899333303748416E-08,1088.97,GOOD,GOOD,
2,0,0,-0.064572001102041476,-9.1243445838079615E-08,1110.7,GOOD,GOOD,
2,0,0,-0.067828145209500673,-9.8193221814000203E-08,1131.62,GOOD,GOOD,
2,0,0,-0.071242441894719052,-1.0489529863272106E-07,1153.13,GOOD,GOOD,
2,0,0,-0.074822796336550215,-1.110758790239146E-07,1175.53,GOOD,GOOD,
2,0,0,-0.078580049422145831,-1.1674785385931824E-07,1197.3,GOOD,GOOD,
2,0,0,-0.082517342449008393,-1.2264805118124419E-07,1219.77,GOOD,GOOD,
2,0,0,-0.086647653027818947,-1.2790604372016849E-07,1242.89,GOOD,GOOD,
2,0,0,-0.090986933613431284,-1.3226706992678532E-07,1265.36,GOOD,GOOD,
2,0,0,-0.095530944767842199,-1.3642335360826652E-07,1285.83,GOOD,GOOD,
2,0,0,-0.1002992534045552,-1.404409504778677E-07,1310.68,GOOD,GOOD,
2,0,0,-0.10529889211903742,-1.4441505933613445E-07,1335.52,GOOD,GOOD,
2,0,0,-0.11054435398717974,-1.4778818001994288E-07,1360.77,GOOD,GOOD,
2,0,0,-0.11604805745262228,-1.5081702729319033E-07,1385.67,GOOD,GOOD,
2,0,0,-0.12181588636942153,-1.5336709497169806E-07,1411.31,GOOD,GOOD,
2,0,0,-0.12786703421437792,-1.557473082111385E-07,1437.78,GOOD,GOOD,
2,0,0,-0.13421915115447633,-1.5813261451002917E-07,1464.09,GOOD,GOOD,
2,0,0,-0.14087650735405743,-1.6019863441789587E-07,1490.22,GOOD,GOOD,
2,0,0,-0.14785906326692269,-1.6203797109523378E-07,1517.52,GOOD,GOOD,
2,0,0,-0.15518610158098967,-1.638821835252934E-07,1543.93,GOOD,GOOD,
2,0,0,-0.16286652893361916,-1.6555984738486338E-07,1570.68,GOOD,GOOD,
2,0,0,-0.17092781799062357,-1.6719871866258406E-07,1596.41,GOOD,GOOD,
2,0,0,-0.17938064864565348,-1.6845623504695531E-07,1623.95,GOOD,GOOD,
2,0,0,-0.18824249461069617,-1.6992487471907663E-07,1652.43,GOOD,GOOD,
2,0,0,-0.19754414965562814,-1.7098497362595232E-07,1679.37,GOOD,GOOD,
2,0,0,-0.20729532022059938,-1.7215958207604508E-07,1708.49,GOOD,GOOD,
2,0,0,-0.21752542084640714,-1.7325871169864105E-07,1738.52,GOOD,GOOD,
2,0,0,-0.22825263338453292,-1.7440481284442248E-07,1768.14,GOOD,GOOD,
2,0,0,-0.23950910947099033,-1.7541757161832015E-07,1798.19,GOOD,GOOD,
2,0,0,-0.25131443492662903,-1.763553995406204E-07,1827.32,GOOD,GOOD,
2,0,0,-0.26369444346983689,-1.7736740834596547E-07,1854.77,GOOD,GOOD,
2,0,0,-0.27668077241253275,-1.7830245603618026E-07,1885.12,GOOD,GOOD,
2,0,0,-0.29030030311128846,-1.7915693806079101E-07,1915.17,GOOD,GOOD,
2,0,0,-0.3045859713483603,-1.7992328716091437E-07,1944.42,GOOD,GOOD,
2,0,0,-0.31956549083791136,-1.8061139060127122E-07,1973.29,GOOD,GOOD,
2,0,0,-0.33528498263612283,-1.8147410688931518E-07,2003.73,GOOD,GOOD,
2,0,0,-0.35176978385066021,-1.8198198533280991E-07,2035.43,GOOD,GOOD,
2,0,0,-0.36905729483377275,-1.8268723326331684E-07,2064.61,GOOD,GOOD,
2,0,0,-0.38719177277023253,-1.8335035454635562E-07,2094.42,GOOD,GOOD,
2,0,0,-0.40621265211385449,-1.8392899167477315E-07,2123.85,GOOD,GOOD,
2,0,0,-0.4261625080746807,-1.8457711025594818E-07,2156.91,GOOD,GOOD,
2,0,0,-0.44708772137592051,-1.8528304318504324E-07,2186.98,GOOD,GOOD,
2,0,0,-0.46903637045171798,-1.8574818858197323E-07,2219.94,GOOD,GOOD,
2,0,0,-0.49205333461292577,-1.8621600594047629E-07,2253.14,GOOD,GOOD,
2,0,0,-0.51619728792079667,-1.8649151293159813E-07,2285.54,GOOD,GOOD,
2,0,0,-0.54152171100523805,-1.8687738677885729E-07,2318.13,GOOD,GOOD,
2,0,0,-0.56808284188828517,-1.8770005411831423E-07,2354.72,GOOD,GOOD,
2,0,0,-0.59594515319431707,-1.8774896976335908E-07,2387.55,GOOD,GOOD,
2,0,0,-0.62516572987861041,-1.8827773250904758E-07,2422.37,GOOD,GOOD,
2,0,0,-0.65581107573015363,-1.885127607237739E-07,2460.24,GOOD,GOOD,
2,0,0,-0.68796392866783329,-1.8861302312331741E-07,2495.86,GOOD,GOOD,
2,0,0,-0.72167970154960959,-1.8902773004355474E-07,2530.69,GOOD,GOOD,
2,0,0,-0.75704693529710498,-1.889419466810702E-07,2566.58,GOOD,GOOD,
2,0,0,-0.79413938254994032,-1.8943311379303474E-07,2601.86,GOOD,GOOD,
2,0,0,-0.8330452499452109,-1.8967616302269571E-07,2638.2,GOOD,GOOD,
2,0,0,-0.87384881424777361,-1.8982430231355638E-07,2673.85,GOOD,GOOD,
2,0,0,-0.91665654713186429,-1.9009014761628633E-07,2710.95,GOOD,GOOD,
2,0,0,-0.96155132721507364,-1.903254000673603E-07,2748.25,GOOD,GOOD,
2,0,0,-1.0086362578945585,-1.9022583652564309E-07,2787.3,GOOD,GOOD,
2,0,0,-1.0580230781101545,-1.9050566063116232E-07,2828.22,GOOD,GOOD,
2,0,0,-1.1098224542762196,-1.9060617441125181E-07,2869.87,GOOD,GOOD,
2,0,0,-1.1641556540907747,-1.9061855882737639E-07,2911.86,GOOD,GOOD,
2,0,0,-1.2211455981736434,-1.9105308717641132E-07,2955.41,GOOD,GOOD,
2,0,0,-1.2809191518838161,-1.9101913514405308E-07,2999.71,GOOD,GOOD,
2,0,0,-1.3436107591698687,-1.9101016852325393E-07,3045.04,GOOD,GOOD,
2,0,0,-1.409368752693466,-1.9119679870868057E-07,3092.1,GOOD,GOOD,
2,0,0,-1.4783423228388015,-1.9118838798881481E-07,3139.46,GOOD,GOOD,
2,0,0,-1.5506780284435704,-1.9128637957898766E-07,3187.32,GOOD,GOOD,
2,0,0,-1.6265544859046057,-1.9133608933540712E-07,3235.55,GOOD,GOOD,
2,0,0,-1.7061390642013943,-1.9150731781073807E-07,3285.43,GOOD,GOOD,
2,0,0,-1.789614106751297,-1.9180386695388481E-07,3335.82,GOOD,GOOD,
2,0,0,-1.8771640954547488,-1.9200964853902951E-07,3384.57,GOOD,GOOD,
2,0,0,-1.9689950728336276,-1.918680735882609E-07,3437.04,GOOD,GOOD,
2,0,0,-2.065310722734143,-1.9174553227197129E-07,3490.13,GOOD,GOOD,
2,0,0,-2.1663359444459287,-1.9202123700609041E-07,3538.71,GOOD,GOOD,
2,0,0,-2.2722961730991975,-1.918770185779287E-07,3590.07,GOOD,GOOD,
2,0,0,-2.3834346180212962,-1.919593126666414E-07,3639.23,GOOD,GOOD,
2,0,0,-2.5000000804175002,-1.9195306521305247E-07,3691.57,GOOD,GOOD,
