========================================================================================================
O-20  IS chi A FUNCTION OF THE COUPLING'S HOMOLOGY CLASS ALONE?
========================================================================================================
  toric 2x2, dim 256; dim Z_1 = 5, dim B_1 = 3, dim H_1 = 2
  every coupling below is a Z-type CYCLE, hence GAUGE-INVARIANT by construction

  coupling (link set)        weight  gauge-inv  in B_1?  homology class     chi bits
  [4, 6]                          2    0.0e+00    False  NOT a boundary   0.90811968
  [3, 7]                          2    0.0e+00    False  NOT a boundary   0.00000000
  [1, 5]                          2    0.0e+00    False  NOT a boundary   0.00000000
  [0, 2]                          2    0.0e+00    False  NOT a boundary   0.90811968
  [2, 5, 6, 7]                    4    0.0e+00     True  B_1 (boundary)   0.00000000
  [1, 3, 5, 7]                    4    0.0e+00     True  B_1 (boundary)   0.00000000
  [1, 2, 3, 6]                    4    0.0e+00     True  B_1 (boundary)   0.00000000
  [0, 4, 5, 7]                    4    0.0e+00     True  B_1 (boundary)   0.00000000
