"(1, 2)",Uncertainty,"(2, 3)",Uncertainty,"(3, 4)",Uncertainty,"(4, 5)",Uncertainty,"(1, 3)",Uncertainty,"(2, 4)",Uncertainty,"(3, 5)",Uncertainty,"(1, 4)",Uncertainty,"(2, 5)",Uncertainty,"(1, 5)",Uncertainty
cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm
0.25,0.18,0.43,0.18,0.19,0.18,0.23,0.19,0.66,0.2,0.53,0.2,0.57,0.2,0.73,0.23,0.82,0.23,1.1,0.27
