"2a, Atom number difference","2a, Uncertainty","2a, Detuning","2a, Uncertainty","2b, Height difference","2b, Differential second-order Zeeman shift","2b, Uncertainty","2c, Height difference","2c, Differential BBR shift","2c, Uncertainty","2d, Relative trap depth difference","2d, Uncertainty","2d, Detuning","2d, Uncertainty","2e, Height difference","2d, Detuning","2d, Uncertainty"
Count,Count,1e-18,1e-18,cm,1e-18,1e-18,cm,1e-18 per 1 K difference,1e-18 per 1 K difference,%,%,1e-18,1e-18,cm,1e-18,1e-18
-2558.5,44.80241099677807,1.6973311076484947,0.41678482111232673,0.25,-1.8241190158766898,0.06309106801247483,0.25,-1.2711823774150504,0.09053290615462911,4.703455885059242,0.8896029626972621,-3.4728330299937773,1.3504656805566773,0.25,-2.3203056410790133,1.3504656805566773
-174.79999999999927,92.00345168429413,0.23345354881317348,0.3695856467455418,0.25,-2.570141949174142,0.08395315998202511,0.25,-1.011074850957951,0.12794645261730633,1.181735519666558,0.7495382584944882,-3.3490563479361097,1.3604617939963601,0.25,-5.227468420897231,1.3604617939963601
2167.0999999999995,37.19322531221461,-1.9330267901694356,0.7071424928108359,0.25,-2.709219937449384,0.07054227609844177,0.25,-1.085548405993011,0.12063781220435758,-1.541945919892213,0.7132356566821824,0.9443396890400331,1.3339648327843872,0.25,-3.27818625447739,1.3339648327843872
2778.8,76.29048229992334,-1.820175813336391,0.453470183630571,0.25,-2.2451954760824635,0.07198391336491848,0.25,-1.072813153411492,0.11003658334025228,-3.50056577485605,0.8966184893525911,1.519329474653418,1.3747339434733519,0.25,-4.388866423684958,1.3747339434733519
,,,,0.5,-4.340796232037578,0.1401151077118174,0.5,-2.366369063486958,0.16682854086305382,5.4246848310211355,0.90376775835065,-3.824549179706291,1.4392312927073108,0.5,-4.946765032010832,1.4392312927073108
,,,,0.5,-5.2090052821839,0.13664367035390867,0.5,-2.2315009055209662,0.1403553726736461,-0.20753362794342883,0.8671576043284711,-0.7765454085095875,1.3235609790710678,0.5,-6.746083425553356,1.3235609790710678
,,,,0.5,-4.9012986352596215,0.15496505237435187,0.5,-1.950449359915918,0.10634399585469323,-5.07784020430334,0.6808260630092681,4.180484156098114,1.2973537051871868,0.5,-5.980642874878315,1.2973537051871868
,,,,0.75,-6.941426534740997,0.21537082567079968,0.75,-3.6614305315870324,0.24494962545366072,3.519095870491087,0.9707793179457932,-2.279071545636663,1.4399022710737044,0.75,-7.936779712308704,1.4399022710737044
,,,,0.75,-7.38609398665873,0.23371763199933165,0.75,-3.007416610119475,0.14375554846898353,-3.9393072514211784,0.9719689958671708,2.504810556284246,1.5311015117528657,0.75,-9.57191047890711,1.5311015117528657
,,,,1.0,-9.149740585659865,0.2991046195674124,1.0,-4.225775663479068,0.2159087741892055,-0.6171625403073556,1.0933890759103073,0.9667941661045436,1.3625090475021042,1.0,-11.146213500553376,1.3625090475021042
